source,number,answer,image_status,explanation_quality,note
M121 呼吸區段考,12,D,非圖片題,已精修詳解,
M121 呼吸區段考,13,C,非圖片題,已精修詳解,
M121 呼吸區段考,14,A,非圖片題,已精修詳解,
M121 呼吸區段考,15,D,非圖片題,已精修詳解,
M121 呼吸區段考,16,B,非圖片題,已精修詳解,
M121 呼吸區段考,17,C,非圖片題,已精修詳解,
M121 呼吸區段考,18,B,非圖片題,已精修詳解,
M121 呼吸區段考,19,A,非圖片題,已精修詳解,
M121 呼吸區段考,20,B,非圖片題,已精修詳解,
M121 呼吸區段考,21,A,非圖片題,已精修詳解,
M121 呼吸區段考,22,D,非圖片題,已精修詳解,
M121 呼吸區段考,23,A,非圖片題,已精修詳解,
M121 呼吸區段考,24,C,非圖片題,已精修詳解,
M121 呼吸區段考,25,C,非圖片題,已精修詳解,
M121 呼吸區段考,26,C,非圖片題,已精修詳解,
M121 呼吸區段考,27,D,非圖片題,已精修詳解,
M121 呼吸區段考,28,C,非圖片題,已精修詳解,
M121 呼吸區段考,29,C,非圖片題,已精修詳解,
M121 呼吸區段考,30,A,非圖片題,已精修詳解,
M121 呼吸區段考,31,C,非圖片題,已精修詳解,
M121 呼吸區段考,32,B,非圖片題,已精修詳解,
M121 呼吸區段考,33,A,非圖片題,已精修詳解,
M121 呼吸區段考,34,D,非圖片題,已精修詳解,
M121 呼吸區段考,35,D,非圖片題,已精修詳解,
M121 呼吸區段考,36,B,非圖片題,已精修詳解,
M121 呼吸區段考,37,B,非圖片題,已精修詳解,
M121 呼吸區段考,38,A,非圖片題,已精修詳解,
M121 呼吸區段考,39,A,非圖片題,已精修詳解,
M121 呼吸區段考,40,D,非圖片題,已精修詳解,
M121 呼吸區段考,41,D,非圖片題,已精修詳解,
M121 呼吸區段考,42,C,非圖片題,已精修詳解,
M121 呼吸區段考,43,A,非圖片題,已精修詳解,
M121 呼吸區段考,44,A,非圖片題,已精修詳解,
M121 呼吸區段考,45,A,非圖片題,已精修詳解,
M121 呼吸區段考,46,D,非圖片題,已精修詳解,
M121 呼吸區段考,47,D,非圖片題,已精修詳解,
M121 呼吸區段考,48,C,非圖片題,已精修詳解,
M121 呼吸區段考,49,C,非圖片題,已精修詳解,
M121 呼吸區段考,50,B,非圖片題,已精修詳解,
