source,number,status,image,note
M119 呼吸區段考,1,非圖片題,,原本四個敘述都在題幹，選項只顯示 A/B/C/D；已拆成 1/2/3/4。
M119 呼吸區段考,3,圖片已收錄,assets/M119_Q03_TEF.jpg,氣管食道瘻管圖型題，已放入原始考古頁面截圖。
M119 呼吸區段考,7,非圖片題,,修正 1/2/3 合併在同一選項的跑版問題；本題為使用者指出的蝶竇題。
M119 呼吸區段考,29,非圖片題,,修正第 1 選項跑入題幹。
M119 呼吸區段考,37,非圖片題,,使用者校正：M119 第37題答案為 10（網站選項 key=1）。
M119 呼吸區段考,38,非圖片題,,使用者校正：M119 第38題答案為 4。
M119 呼吸區段考,50,非圖片題,,補回第 4 選項，並修正 1/2/3/4 選項格式。
M118 呼吸區段考,15,非圖片題,,補回缺漏選項，與同型考點題一致：終端細支氣管不具有杯狀細胞。
M118 呼吸區段考,32,圖片已收錄,assets/M118_Q32_Davenport.jpg,Davenport diagram 題，已放入原始考古頁面截圖。
M118 呼吸區段考,33,圖片已收錄,assets/M118_Q33_Davenport.jpg,與第32題共用 Davenport diagram，已放入原始考古頁面截圖。
M118 呼吸區段考,34,圖片已收錄,assets/M118_Q34_ShuntFormula.jpg,Shunt fraction 公式選項題，已放入原始公式選項截圖。
M117 呼吸區段考,18,圖片已收錄,assets/M117_Q18_TEF.jpg,氣管食道瘻管圖型題，已放入原始考古頁面截圖。
M117 呼吸區段考,22,圖片已收錄,assets/M117_Q22_CrossPage.jpg,原題跨頁選項，已放入原始頁面截圖作為對照。
M117 呼吸區段考,24,非圖片題,,移除下一題題組文字誤併入 D 選項。
M117 呼吸區段考,25,圖片已收錄,assets/M117_Q25_Davenport.jpg,Davenport diagram 題，已放入原始考古頁面截圖。
M117 呼吸區段考,26,圖片已收錄,assets/M117_Q26_Davenport.jpg,與第25題共用 Davenport diagram，已放入原始考古頁面截圖。
M117 呼吸區段考,29,非圖片題,,拆開 A/B 選項合併；保留原答案 D。
M117 呼吸區段考,30,非圖片題,,拆開 A/B 選項合併；保留原答案 A。
M117 呼吸區段考,35,圖片已收錄,assets/M117_Q35_OxygenCurve.jpg,oxygen equilibrium curve 圖題，已放入原始考古頁面截圖。
M122 呼吸區段考,24,非圖片題,,使用者校正：M122 第24題答案為 A。
M122 呼吸區段考,31,非圖片題,,使用者校正：M122 第31題答案為 D。
M123 呼吸區段考,37,非圖片題,,修正 C、D 選項合併。
M113 呼吸系統區段考,21,圖片已收錄,assets/M113_Q21_OxygenCurve.jpg,oxygen equilibrium curve 圖題，已放入原始考古頁面截圖。
M113 呼吸系統區段考,26,圖片已收錄,assets/M113_Q26_Davenport.jpg,Davenport diagram 題，已放入原始考古頁面截圖。
